Name,Date of Birth,Gender,Date of Death,Movie Title,Year
Robert Downey Jr.,"April 4, 1965",Unknown,N/A,"""Smile""",1992
Robert Downey Jr.,"April 4, 1965",Unknown,N/A,"""The Star-Spangled Banner""",1993
Robert Downey Jr.,"April 4, 1965",Unknown,N/A,"""White Christmas""",2000
Robert Downey Jr.,"April 4, 1965",Unknown,N/A,"""Every Breath You Take""",2001
Robert Downey Jr.,"April 4, 1965",Unknown,N/A,"""In My Dreams""",2003
Robert Downey Jr.,"April 4, 1965",Unknown,N/A,"""Broken""",2005
Scarlett Johansson,"November 22, 1984",Unknown,N/A,North,1994
Scarlett Johansson,"November 22, 1984",Unknown,N/A,Just Cause,1995
Scarlett Johansson,"November 22, 1984",Unknown,N/A,If Lucy Fell,1996
Scarlett Johansson,"November 22, 1984",Unknown,N/A,Fall,1997
Scarlett Johansson,"November 22, 1984",Unknown,N/A,The Horse Whisperer,1998
Scarlett Johansson,"November 22, 1984",Unknown,N/A,My Brother the Pig,1999
Scarlett Johansson,"November 22, 1984",Unknown,N/A,The Man Who Wasn't There,2001
Scarlett Johansson,"November 22, 1984",Unknown,N/A,Eight Legged Freaks,2002
Scarlett Johansson,"November 22, 1984",Unknown,N/A,Lost in Translation,2003
Scarlett Johansson,"November 22, 1984",Unknown,N/A,The Perfect Score,2004
Scarlett Johansson,"November 22, 1984",Unknown,N/A,Match Point,2005
Scarlett Johansson,"November 22, 1984",Unknown,N/A,Scoop,2006
Scarlett Johansson,"November 22, 1984",Unknown,N/A,The Nanny Diaries,2007
Scarlett Johansson,"November 22, 1984",Unknown,N/A,The Other Boleyn Girl,2008
Scarlett Johansson,"November 22, 1984",Unknown,N/A,He's Just Not That Into You,2009
Scarlett Johansson,"November 22, 1984",Unknown,N/A,Iron Man 2,2010
Scarlett Johansson,"November 22, 1984",Unknown,N/A,The Whale,2011
Scarlett Johansson,"November 22, 1984",Unknown,N/A,The Avengers,2012
Scarlett Johansson,"November 22, 1984",Unknown,N/A,Don Jon,2013
Scarlett Johansson,"November 22, 1984",Unknown,N/A,Chef,2014
Scarlett Johansson,"November 22, 1984",Unknown,N/A,Avengers: Age of Ultron,2015
Scarlett Johansson,"November 22, 1984",Unknown,N/A,Captain America: Civil War,2016
Scarlett Johansson,"November 22, 1984",Unknown,N/A,Ghost in the Shell,2017
Scarlett Johansson,"November 22, 1984",Unknown,N/A,Isle of Dogs,2018
Scarlett Johansson,"November 22, 1984",Unknown,N/A,Captain Marvel,2019
Scarlett Johansson,"November 22, 1984",Unknown,N/A,Black Widow,2021
Scarlett Johansson,"November 22, 1984",Unknown,N/A,Asteroid City,2023
Scarlett Johansson,"November 22, 1984",Unknown,N/A,Fly Me to the Moon,2024
Scarlett Johansson,"November 22, 1984",Unknown,N/A,Jurassic World Rebirth †,2025
Scarlett Johansson,"November 22, 1984",Unknown,N/A,The Client,1995
Scarlett Johansson,"November 22, 1984",Unknown,N/A,Entourage,2004
Scarlett Johansson,"November 22, 1984",Unknown,N/A,HitRecord on TV,2014
Scarlett Johansson,"November 22, 1984",Unknown,N/A,Marvel Studios: Assembled,2021
Scarlett Johansson,"November 22, 1984",Unknown,N/A,A View from the Bridge,2010
Scarlett Johansson,"November 22, 1984",Unknown,N/A,Cat on a Hot Tin Roof,2013
Scarlett Johansson,"November 22, 1984",Unknown,N/A,The SpongeBob SquarePants Movie,2004
Scarlett Johansson,"November 22, 1984",Unknown,N/A,"""Girl with a Pearl""",2003
Scarlett Johansson,"November 22, 1984",Unknown,N/A,"""When the Deal Goes Down""",2006
Scarlett Johansson,"November 22, 1984",Unknown,N/A,"""What Goes Around... Comes Around""",2007
Scarlett Johansson,"November 22, 1984",Unknown,N/A,"""Yes We Can""",2008
Scarlett Johansson,"November 22, 1984",Unknown,N/A,"""Relator""",2009
Scarlett Johansson,"November 22, 1984",Unknown,N/A,"""Bad Dreams""",2018
Chris Evans,Unknown,Unknown,N/A,Biodiversity: Wild About Life!,1997
Chris Evans,Unknown,Unknown,N/A,The Newcomers,2000
Chris Evans,Unknown,Unknown,N/A,Not Another Teen Movie,2001
Chris Evans,Unknown,Unknown,N/A,Paper Boy,2003
Chris Evans,Unknown,Unknown,N/A,The Perfect Score,2004
Chris Evans,Unknown,Unknown,N/A,Fierce People,2005
Chris Evans,Unknown,Unknown,N/A,Fantastic Four: Rise of the Silver Surfer,2007
Chris Evans,Unknown,Unknown,N/A,Street Kings,2008
Chris Evans,Unknown,Unknown,N/A,Push,2009
Chris Evans,Unknown,Unknown,N/A,The Losers,2010
Chris Evans,Unknown,Unknown,N/A,Puncture,2011
Chris Evans,Unknown,Unknown,N/A,The Avengers,2012
Chris Evans,Unknown,Unknown,N/A,Snowpiercer,2013
Chris Evans,Unknown,Unknown,N/A,Captain America: The Winter Soldier,2014
Chris Evans,Unknown,Unknown,N/A,Playing It Cool,2015
Chris Evans,Unknown,Unknown,N/A,Captain America: Civil War,2016
Chris Evans,Unknown,Unknown,N/A,Gifted,2017
Chris Evans,Unknown,Unknown,N/A,Avengers: Infinity War,2018
Chris Evans,Unknown,Unknown,N/A,Captain Marvel,2019
Chris Evans,Unknown,Unknown,N/A,Free Guy,2021
Chris Evans,Unknown,Unknown,N/A,Lightyear,2022
Chris Evans,Unknown,Unknown,N/A,Ghosted,2023
Chris Evans,Unknown,Unknown,N/A,Deadpool & Wolverine,2024
Chris Evans,Unknown,Unknown,N/A,Opposite Sex,2000
Chris Evans,Unknown,Unknown,N/A,Boston Public,2001
Chris Evans,Unknown,Unknown,N/A,Eastwick,2002
Chris Evans,Unknown,Unknown,N/A,Skin,2003
Chris Evans,Unknown,Unknown,N/A,Robot Chicken,2008
Chris Evans,Unknown,Unknown,N/A,America's Game: The 2014 New England Patriots,2015
Chris Evans,Unknown,Unknown,N/A,America's Game: The 2016 New England Patriots,2017
Chris Evans,Unknown,Unknown,N/A,Chain of Command,2018
Chris Evans,Unknown,Unknown,N/A,Defending Jacob,2020
Chris Evans,Unknown,Unknown,N/A,Scott Pilgrim Takes Off,2023
Chris Evans,Unknown,Unknown,N/A,Fantastic Four,2005
Chris Evans,Unknown,Unknown,N/A,Captain America: Super Soldier,2011
Chris Evans,Unknown,Unknown,N/A,Discovered,2012
Chris Evans,Unknown,Unknown,N/A,Our Town,2017
Chris Evans,Unknown,Unknown,N/A,Lobby Hero,2018
Chris Evans,Unknown,Unknown,N/A,"""Tainted Love""",2001
Chris Evans,Unknown,Unknown,N/A,28 Drinks Later,2009
Chris Evans,Unknown,Unknown,N/A,The Carlton Dance,2012
Brie Larson,"October 1, 1989",Unknown,N/A,Madison,2001
Brie Larson,"October 1, 1989",Unknown,N/A,13 Going on 30,2004
Brie Larson,"October 1, 1989",Unknown,N/A,Hoot,2006
Brie Larson,"October 1, 1989",Unknown,N/A,Farce of the Penguins,2007
Brie Larson,"October 1, 1989",Unknown,N/A,The Babysitter,2008
Brie Larson,"October 1, 1989",Unknown,N/A,House Broken,2009
Brie Larson,"October 1, 1989",Unknown,N/A,Greenberg,2010
Brie Larson,"October 1, 1989",Unknown,N/A,Rampart,2011
Brie Larson,"October 1, 1989",Unknown,N/A,21 Jump Street,2012
Brie Larson,"October 1, 1989",Unknown,N/A,Bitter Orange,2013
Brie Larson,"October 1, 1989",Unknown,N/A,The Gambler,2014
Brie Larson,"October 1, 1989",Unknown,N/A,Digging for Fire,2015
Brie Larson,"October 1, 1989",Unknown,N/A,Free Fire,2016
Brie Larson,"October 1, 1989",Unknown,N/A,Kong: Skull Island,2017
Brie Larson,"October 1, 1989",Unknown,N/A,Captain Marvel,2019
Brie Larson,"October 1, 1989",Unknown,N/A,Remembering,2021
Brie Larson,"October 1, 1989",Unknown,N/A,Fast X,2023
Brie Larson,"October 1, 1989",Unknown,N/A,To Have & to Hold,1998
Brie Larson,"October 1, 1989",Unknown,N/A,Touched by an Angel,1999
Brie Larson,"October 1, 1989",Unknown,N/A,Then Came You,2000
Brie Larson,"October 1, 1989",Unknown,N/A,Right on Track,2003
Brie Larson,"October 1, 1989",Unknown,N/A,Ghost Whisperer,2008
Brie Larson,"October 1, 1989",Unknown,N/A,The Burg,2009
Brie Larson,"October 1, 1989",Unknown,N/A,The League,2011
Brie Larson,"October 1, 1989",Unknown,N/A,NTSF:SD:SUV::,2012
Brie Larson,"October 1, 1989",Unknown,N/A,Kroll Show,2013
Brie Larson,"October 1, 1989",Unknown,N/A,Comedy Bang! Bang!,2015
Brie Larson,"October 1, 1989",Unknown,N/A,Saturday Night Live,2016
Brie Larson,"October 1, 1989",Unknown,N/A,Carpool Karaoke: The Series,2019
Brie Larson,"October 1, 1989",Unknown,N/A,Animal Talking with Gary Whitta,2020
Brie Larson,"October 1, 1989",Unknown,N/A,Ms. Marvel,2022
Brie Larson,"October 1, 1989",Unknown,N/A,HouseBroken,2023
Brie Larson,"October 1, 1989",Unknown,N/A,Fortnite Battle Royale,2022
Brie Larson,"October 1, 1989",Unknown,N/A,Our Town,2010
Brie Larson,"October 1, 1989",Unknown,N/A,Avengers: Quantum Encounter,2022
Brie Larson,"October 1, 1989",Unknown,N/A,"""Junk Food""",2008
Brie Larson,"October 1, 1989",Unknown,N/A,"""Never Enough""",2012
Brie Larson,"October 1, 1989",Unknown,N/A,"""Just One of the Guys""",2014
Brie Larson,"October 1, 1989",Unknown,N/A,"""No Cities to Love""",2015
Brie Larson,"October 1, 1989",Unknown,N/A,"""Family Feud""",2017
Brie Larson,"October 1, 1989",Unknown,N/A,Army Navy,2008
Brie Larson,"October 1, 1989",Unknown,N/A,Overexposed,2012
Brie Larson,"October 1, 1989",Unknown,N/A,"""She Said""",2004
Brie Larson,"October 1, 1989",Unknown,N/A,"""Life After You""",2005
Brie Larson,"October 1, 1989",Unknown,N/A,"""Coming Around""",2006
Brie Larson,"October 1, 1989",Unknown,N/A,"""Big Rock Candy Mountain""",2015
Brie Larson,"October 1, 1989",Unknown,N/A,"""All Signs Point to Yes""",2018
Brie Larson,"October 1, 1989",Unknown,N/A,"""Black Sheep""(Metric featuring Brie Larson)",2021
Brie Larson,"October 1, 1989",Unknown,N/A,"""She Said""",2005
Chadwick Boseman,"November 29, 1976",Unknown,"August 28, 2020",The Express: The Ernie Davis Story,2008
Chadwick Boseman,"November 29, 1976",Unknown,"August 28, 2020",The Kill Hole,2012
Chadwick Boseman,"November 29, 1976",Unknown,"August 28, 2020",42,2013
Chadwick Boseman,"November 29, 1976",Unknown,"August 28, 2020",Draft Day,2014
Chadwick Boseman,"November 29, 1976",Unknown,"August 28, 2020",Gods of Egypt,2016
Chadwick Boseman,"November 29, 1976",Unknown,"August 28, 2020",Marshall,2017
Chadwick Boseman,"November 29, 1976",Unknown,"August 28, 2020",Black Panther,2018
Chadwick Boseman,"November 29, 1976",Unknown,"August 28, 2020",Avengers: Endgame,2019
Chadwick Boseman,"November 29, 1976",Unknown,"August 28, 2020",Da 5 Bloods,2020
Chadwick Boseman,"November 29, 1976",Unknown,"August 28, 2020",Black Panther: Wakanda Forever,2022
Chadwick Boseman,"November 29, 1976",Unknown,"August 28, 2020",All My Children,2003
Chadwick Boseman,"November 29, 1976",Unknown,"August 28, 2020",Law & Order,2004
Chadwick Boseman,"November 29, 1976",Unknown,"August 28, 2020",CSI: NY,2006
Chadwick Boseman,"November 29, 1976",Unknown,"August 28, 2020",ER,2008
Chadwick Boseman,"November 29, 1976",Unknown,"August 28, 2020",Lie to Me,2009
Chadwick Boseman,"November 29, 1976",Unknown,"August 28, 2020",Persons Unknown,2010
Chadwick Boseman,"November 29, 1976",Unknown,"August 28, 2020",Castle,2011
Chadwick Boseman,"November 29, 1976",Unknown,"August 28, 2020",Saturday Night Live,2018
Chadwick Boseman,"November 29, 1976",Unknown,"August 28, 2020",What If...?,2021
Chadwick Boseman,"November 29, 1976",Unknown,"August 28, 2020",Blood Over a Broken Pawn,2008
Chadwick Boseman,"November 29, 1976",Unknown,"August 28, 2020",Heaven,2013
Chadwick Boseman,"November 29, 1976",Unknown,"August 28, 2020",Crossroads,1993
Chadwick Boseman,"November 29, 1976",Unknown,"August 28, 2020",Hieroglyphic Graffiti,2002
Chadwick Boseman,"November 29, 1976",Unknown,"August 28, 2020",Deep Azure,2005
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,Martha Marcy May Marlene,2011
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,Red Lights,2012
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,Kill Your Darlings,2013
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,In Secret,2014
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,Avengers: Age of Ultron,2015
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,Captain America: Civil War,2016
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,Ingrid Goes West,2017
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,Kodachrome,2018
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,Avengers: Endgame,2019
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,Doctor Strange in the Multiverse of Madness,2022
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,His Three Daughters,2023
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,The Assessment †,2024
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,How the West Was Fun,1994
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,Drunk History,2016
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,HarmonQuest,2017
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,WandaVision,2021
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,Saturday Night Live,2022
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,Romeo and Juliet,2013
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,Chicago Film Critics Association,2011
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,Alliance of Women Film Journalists,2012
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,British Academy Film Awards,2013
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,Teen Choice Awards,2014
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,Deauville American Film Festival,2015
Elizabeth Olsen,"February 16, 1989",Unknown,N/A,Teen Choice Awards,2016
