Name,Date of Birth,Gender,Date of Death,Movie Title,Year
Robert Downey Jr.,1965-04-04,Male,,Natural Born Killers,1994
Robert Downey Jr.,1965-04-04,Male,,Iron Man 2,2010
Robert Downey Jr.,1965-04-04,Male,,America,1986
Robert Downey Jr.,1965-04-04,Male,,Short Cuts,1993
Robert Downey Jr.,1965-04-04,Male,,Sherlock Holmes,2009
Robert Downey Jr.,1965-04-04,Male,,Chances Are,1989
Robert Downey Jr.,1965-04-04,Male,,The Incredible Hulk,2008
Robert Downey Jr.,1965-04-04,Male,,Iron Man,2008
Robert Downey Jr.,1965-04-04,Male,,The Shaggy Dog,2006
Robert Downey Jr.,1965-04-04,Male,,"Good Night, and Good Luck.",2005
Robert Downey Jr.,1965-04-04,Male,,A Scanner Darkly,2006
Robert Downey Jr.,1965-04-04,Male,,Zodiac,2007
Robert Downey Jr.,1965-04-04,Male,,Lucky You,2007
Robert Downey Jr.,1965-04-04,Male,,Chaplin,1992
Robert Downey Jr.,1965-04-04,Male,,Wonder Boys,2000
Robert Downey Jr.,1965-04-04,Male,,Kiss Kiss Bang Bang,2005
Robert Downey Jr.,1965-04-04,Male,,The Singing Detective,2003
Robert Downey Jr.,1965-04-04,Male,,Johnny Be Good,1988
Robert Downey Jr.,1965-04-04,Male,,Gothika,2003
Robert Downey Jr.,1965-04-04,Male,,Bowfinger,1999
Robert Downey Jr.,1965-04-04,Male,,Tropic Thunder,2008
Robert Downey Jr.,1965-04-04,Male,,Richard III,1995
Robert Downey Jr.,1965-04-04,Male,,U.S. Marshals,1998
Robert Downey Jr.,1965-04-04,Male,,Weird Science,1985
Robert Downey Jr.,1965-04-04,Male,,True Believer,1989
Robert Downey Jr.,1965-04-04,Male,,Air America,1990
Robert Downey Jr.,1965-04-04,Male,,A Guide to Recognizing Your Saints,2006
Robert Downey Jr.,1965-04-04,Male,,The Avengers,2012
Robert Downey Jr.,1965-04-04,Male,,Charlie Bartlett,2008
Robert Downey Jr.,1965-04-04,Male,,Heart and Souls,1993
Robert Downey Jr.,1965-04-04,Male,,Hugo Pool,1997
